symbol,start,end,decision_day,hold_days,cumulative_return,annualized_return,annualized_volatility,max_drawdown,max_drawdown_recovery_days,sharpe_ratio,ulcer_index,ulcer_performance_index,win_rate,payoff_ratio,kelly_fraction,objective_raw,objective_percentile,is_top_pct,local_neighbor_count,local_top_ratio,local_pct_mean,local_pct_std,local_stability,asset_robust_score
510300,20120528,20260618,7,12,-0.2408872191555821,-0.0201320528227513,0.1640625254084763,-0.6210871061100709,3984.0,-0.0416680559632544,35.756812488194726,-0.0563027054757691,0.4573170731707317,1.1056794823404148,-0.0334968882863083,-0.0416680559632544,0.25535714285714284,False,9,0.0,0.2314484126984127,0.04964046217561656,0.9503595378243834,0.3177504789934481
510300,20120528,20260618,7,14,-0.1521068827713081,-0.0121019220601259,0.1805545381192654,-0.6849363877626916,4041.0,0.0231993425637433,43.82195361624311,-0.0276161171774875,0.4906832298136646,1.0489353381674025,0.0051273031002371,0.0231993425637433,0.31785714285714284,False,9,0.0,0.29672619047619053,0.11345025731285822,0.8865497426871418,0.3362385199659998
510300,20120528,20260618,7,15,0.2175807774889702,0.0146331803199106,0.1880637835893993,-0.541111145971958,4041.0,0.1715940881979481,31.37680216128545,0.0466369397515147,0.5234899328859061,1.0273148440265958,0.0596495923274105,0.1715940881979481,0.46785714285714286,False,9,0.0,0.36180555555555555,0.11247777698257017,0.8875222230174298,0.4114330160320574
510300,20120528,20260618,7,16,0.0816622179132522,0.0058094113305373,0.1948225846891162,-0.5859903724188633,4041.0,0.1274992302656054,36.793945853215135,0.0157890413648845,0.5251798561151079,1.0598109880154034,0.0771564356615816,0.1274992302656054,0.41875,False,9,0.0,0.42390873015873015,0.09132762146210158,0.9086723785378984,0.3911094757075797
510300,20120528,20260618,7,17,0.4744288587000929,0.0290657048301294,0.1988639159919222,-0.4759096900410147,4025.0,0.2438173559581554,28.304351227245167,0.1026898818375015,0.5384615384615384,0.9536686187041888,0.0545004932028785,0.2438173559581554,0.575,False,9,0.0,0.4759920634920634,0.0927840872228301,0.90721591277717,0.468943182555434
510300,20120528,20260618,7,18,0.5950567245781406,0.0350546370949189,0.2030713750285263,-0.5461399867966097,4041.0,0.2714941643922957,35.6878899739493,0.0982255804994563,0.5606060606060606,0.9218218053004416,0.0839478422091421,0.2714941643922957,0.6026785714285714,False,9,0.0,0.5368055555555555,0.09177943915167064,0.9082205608483294,0.4829833978839516
510300,20120528,20260618,7,19,0.9775288223453642,0.0516022896689438,0.2082398411074816,-0.4547444621082448,4025.0,0.3459995819594914,25.97857271713604,0.1986340444134787,0.5488721804511278,1.0807321802505705,0.1314442294815573,0.3459995819594914,0.6883928571428571,False,9,0.0,0.5641865079365079,0.055239321050073245,0.9447606789499268,0.533148564361414
510300,20120528,20260618,7,20,0.4526605743178176,0.0279368428769208,0.2002153805688888,-0.5516304267368652,4025.0,0.2378759164370418,30.594482316368136,0.0913133374444273,0.5073529411764706,1.1993838545835842,0.0966028239885313,0.2378759164370418,0.5705357142857143,False,6,0.0,0.5714285714285714,0.05501768036787105,0.944982319632129,0.47426432106928296
510300,20120528,20260618,8,1,0.1943752447629405,0.0131934665976976,0.0480601632654212,-0.1729460233833863,1470.0,0.2960992322280544,7.6591547294220685,0.1722574757109408,0.4969696969696969,1.5309095569430522,0.1683870574865631,0.2960992322280544,0.6366071428571428,False,6,0.0,0.3508928571428571,0.22754372757600608,0.772456272423994,0.4727948259133702
510300,20120528,20260618,8,2,0.1612126443978716,0.0110903708602512,0.0650222490729768,-0.1926788434869362,2597.0,0.201697338019876,9.927366428233528,0.1117151355339327,0.5272727272727272,1.244985274027231,0.1475676154217953,0.201697338019876,0.5071428571428571,False,9,0.0,0.3337301587301587,0.2124465459720154,0.7875534540279846,0.4110821193770255
510300,20120528,20260618,8,3,0.0912175683516005,0.0064624068200573,0.0775554810043559,-0.3135068961280883,3023.0,0.1214408812538412,14.883844300061115,0.0434189359265929,0.5276073619631901,1.190809687386429,0.1309086761525211,0.1214408812538412,0.4107142857142857,False,9,0.0,0.36706349206349204,0.18635061754150503,0.8136493824584949,0.36808701934884186
510300,20120528,20260618,8,4,0.1975821368001018,0.0133939628863626,0.1007884243104792,-0.2885503416172797,1687.0,0.1820189365082146,13.678089998945213,0.0979227573981126,0.515527950310559,1.0035051004509092,0.0327480925183553,0.1820189365082146,0.4785714285714286,False,9,0.0,0.3630952380952381,0.156813891780444,0.843186108219556,0.4079229359296255
510300,20120528,20260618,8,5,-0.0175258961279864,-0.0013038888248435,0.1120615325452436,-0.3841801087970353,3023.0,0.0441099432176538,20.361546086843536,-0.0064036828013077,0.525,0.8975551231187446,-0.0042154072381785,0.0441099432176538,0.3375,False,9,0.0,0.3422619047619047,0.1394045839940307,0.8605954160059693,0.3408690832011939
510300,20120528,20260618,8,7,-0.0773752141934438,-0.0059250495908294,0.1192690832341701,-0.3002136609253637,2311.0,0.009917810874904,14.108053580702334,-0.0419976402622539,0.4968944099378882,0.969324459184843,-0.0221326148059218,0.009917810874904,0.30357142857142855,False,9,0.0,0.28194444444444444,0.08460423087431393,0.9153957691256861,0.3348648681108515
510300,20120528,20260618,8,6,-0.1378574639302646,-0.0108862369778548,0.1132407851071232,-0.4205817254357231,2316.0,-0.0399287178695873,21.302469932115905,-0.0511031679075044,0.5123456790123457,0.9321077071357348,-0.0108281100835118,-0.0399287178695873,0.2571428571428571,False,9,0.0,0.2902777777777778,0.08958624465729337,0.9104137553427066,0.3106541796399699
510300,20120528,20260618,8,8,0.0425735040979462,0.0030812906806025,0.1284271695307971,-0.3552765695214509,2310.0,0.0882880148537728,16.373981911910242,0.0188182123149976,0.5279503105590062,0.9237424304952352,0.0169315743211142,0.0882880148537728,0.38125,False,9,0.0,0.2619047619047619,0.10511557590125335,0.8948844240987467,0.3696018848197493
510300,20120528,20260618,8,9,-0.3153388445144542,-0.0275676310205453,0.150553450194746,-0.5287249736177957,4025.0,-0.1099854194237731,30.68336125300965,-0.0898455380856989,0.5345911949685535,0.8923739095004427,0.0130510646749798,-0.1099854194237731,0.18660714285714286,False,9,0.0,0.23531746031746031,0.12347145860357824,0.8765285413964218,0.2686092797078558
510300,20120528,20260618,8,10,-0.2175207092986107,-0.0179374753981821,0.1475760796814282,-0.5206568177742716,3963.0,-0.0484804111180461,27.98938718454924,-0.0640867028631624,0.4969325153374233,0.9564957361186376,-0.0290159710656351,-0.0484804111180461,0.24107142857142858,False,9,0.0,0.19523809523809524,0.10979117856711651,0.8902088214328835,0.298577478572291
510300,20120528,20260618,8,11,-0.3492190719490537,-0.0312026001692835,0.1545694718586412,-0.6313592892795592,3984.0,-0.1272716982202297,34.56830145987341,-0.0902636197080821,0.4756097560975609,1.0069902729815463,-0.045140302738458,-0.1272716982202297,0.16785714285714284,False,9,0.0,0.19811507936507936,0.10615153537791593,0.8938484646220841,0.26269826435298826
510300,20120528,20260618,8,12,-0.2926673432023975,-0.025227162915882,0.1644581101985608,-0.5755915054933495,3984.0,-0.0726100242382055,33.414553629984724,-0.0754975307922242,0.4539877300613497,1.061587131738474,-0.060348073015399,-0.0726100242382055,0.22142857142857142,False,9,0.0,0.20238095238095238,0.07864467185023305,0.921355328149767,0.2949853513442391
510300,20120528,20260618,8,13,-0.249513782505968,-0.020958100664097,0.1733411082012363,-0.6228843726193614,4041.0,-0.034952795682257,40.85857360166073,-0.0512942543428516,0.484472049689441,0.9690121689624022,-0.0475418576927288,-0.034952795682257,0.26339285714285715,False,9,0.0,0.2503968253968254,0.08321431883037089,0.9167856811696291,0.3150535648053544
