top_k,rebalance_anchor,risk_budget_pct_percent,risk_budget_pct,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,win_rate,payoff_ratio,kelly_fraction,error
1,3,1.3,0.013000000000000001,ok,,0.9439712823159498,0.18671802705689844,9.96428877248071,0.20323684178012344,-0.2499088046193393,749,1.574260785335359,0.7471446527916735,9.703215777693911,1.9242901666283903,,,,
1,3,1.4,0.013999999999999999,ok,,0.9301854069961074,0.19353488402190155,10.878919310202063,0.215063854150142,-0.2760646841723424,700,1.5520763611526556,0.7010490479871777,10.459119401992995,1.8503936764028461,,,,
1,3,1.5,0.015,ok,,0.9176658641945892,0.1995039214606995,11.73746235687372,0.22608490692218694,-0.297547290195889,701,1.5299451840351825,0.6704948357263041,11.062055419676831,1.8034977578021198,,,,
1,3,1.6,0.016,ok,,0.9086196053324139,0.2055418768456605,12.664248721555841,0.23652153283389005,-0.31698405868739843,701,1.5135601556765281,0.6484296961077171,11.641785499022212,1.7655528601083041,,,,
1,3,1.7,0.017,ok,,0.8985561094394106,0.21049684786542366,13.471169073261136,0.2463955710672911,-0.3354604993735564,701,1.4939671751858685,0.6274862413265002,12.249874541405468,1.7183592138346313,,,,
1,3,1.8,0.018000000000000002,ok,,0.8914905938499587,0.21549830062531417,14.330347648913222,0.2555653506509269,-0.3506694748068311,701,1.4793870110739489,0.6145339589196437,12.813183386800238,1.6818482505082548,,,,
1,3,1.9,0.019,ok,,0.8848771291842445,0.2201193619769084,15.166048092597638,0.26435514627985235,-0.3606165895959209,701,1.4660459306004379,0.6103972150132004,13.34924480130266,1.6489274506032618,,,,
1,3,2.0,0.02,ok,,0.8773179399202661,0.2237608656088088,15.85418844884811,0.27254613671076267,-0.3679168766417742,701,1.4507708602731888,0.6081832060850955,13.849135189808402,1.6157028041250887,,,,
1,3,2.1,0.021,ok,,0.8731190146973603,0.2281077191532892,16.7112052681695,0.2804172652404652,-0.3736644871389725,701,1.442277476447948,0.610461328289011,14.300121705537558,1.595145299112784,,,,
1,3,2.2,0.022000000000000002,ok,,0.8694896245220248,0.23221769336621034,17.558571947049685,0.28787463228539995,-0.37906879255403547,702,1.4347340435244076,0.6126003984701753,14.754418543369036,1.5738857663799577,,,,
1,3,2.3,0.023,ok,,0.8620669674227773,0.23429235869950982,18.00046610927575,0.29458103400612995,-0.38425189140216476,702,1.4199060219625463,0.6097363837157936,15.193014034576168,1.542105853165861,,,,
1,3,2.4,0.024,ok,,0.8556587899030166,0.2360657004770772,18.385903318257157,0.3005567130284857,-0.38879098865018313,702,1.4066629001156945,0.6071789402749729,15.605193160632584,1.51273808691201,,,,
1,3,2.5,0.025,ok,,0.8530230031622393,0.2386689017949477,18.964878421134063,0.30584051509090004,-0.39403047866765695,702,1.4009474797293875,0.6057117779364773,15.960045232894304,1.4954149459616903,,,,
1,3,2.6,0.026000000000000002,ok,,0.8482935204852377,0.2399519312167182,19.256104477237198,0.31045025050169306,-0.4017044436488485,906,1.391626993204871,0.5973345204676728,16.38833991451429,1.4641625232840416,,,,
1,3,2.7,0.027000000000000003,ok,,0.8433453210863643,0.24068027838205497,19.42317717378067,0.31446143950562,-0.40759023969504216,906,1.3822391069817268,0.5904956864573874,16.773524960333052,1.4348819282245613,,,,
1,3,2.8,0.027999999999999997,ok,,0.8386417117701477,0.24122486010444866,19.548931641754894,0.3181424966970502,-0.4124783592084085,1038,1.3734409244653891,0.5848182206877127,17.10189705852197,1.4105152152359903,,,,
1,3,2.9,0.028999999999999998,ok,,0.834825767732778,0.24187982518199136,19.70112801927235,0.32153026461572465,-0.4171894731137985,1038,1.3664566421141726,0.5797841047537956,17.43973160048308,1.3869469480556187,,,,
1,3,3.0,0.03,ok,,0.8302724675480943,0.2420075303719913,19.730924955415848,0.32462401056030116,-0.4195031760076747,1038,1.3582257409262404,0.5768908180269983,17.749887045703463,1.3634313826834839,,,,
1,4,0.1,0.001,ok,,2.321015298236397,0.041780023685541234,0.7727714042436338,0.017698766795727804,-0.016651070692786485,156,4.003737089481009,2.50914937882289,0.3693411476169001,11.312041443288537,,,,
1,4,0.2,0.002,ok,,1.5598313519445772,0.054754101009045764,1.1078587611383477,0.0345518532683759,-0.037497605272712176,224,2.6180393225693255,1.4602026078953771,0.9382074041908358,5.836033777229552,,,,
1,4,0.3,0.003,ok,,1.2929822443567047,0.06757609486331373,1.496006349240993,0.0515953995877782,-0.06033572059250447,335,2.1515530762189656,1.1200014551862123,1.6180232985974523,4.176459938610932,,,,
1,4,0.4,0.004,ok,,1.158462182199095,0.08028001599892964,1.9451644424316745,0.06868586751684981,-0.09135747694125873,632,1.919413475594671,0.8787459843111506,2.4757901814910834,3.2426017599997,,,,
1,4,0.5,0.005,ok,,1.0758767212065141,0.0926469261871472,2.4535025678545006,0.08576612475058754,-0.12596992267331597,655,1.7775032875400758,0.7354686279153562,3.446914757496488,2.687821797323388,,,,
1,4,0.6,0.006,ok,,1.0159793719001653,0.10418339190787451,3.0000420154260796,0.10273801593001533,-0.16103531208386324,668,1.6742443463818786,0.6469599155595038,4.465710541280996,2.3329633872326476,,,,
1,4,0.7,0.006999999999999999,ok,,0.9788526959868064,0.115446138836661,3.6101557579143906,0.11882115562980436,-0.18435128013655588,669,1.6214963605481405,0.6262291140649836,5.304158211337063,2.1765214052233093,,,,
