mom_lookback,tsmom_entry_threshold_pct,tsmom_entry_threshold,tsmom_exit_threshold_pct,tsmom_exit_threshold,objective_eligible,objective_ineligible_reason,composite_score,status,elapsed_ms,attempts,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,avg_annual_trade_count,sqn_recent_100,sqn_applicable,sqn_reason,sqn_trade_count_used,sqn_trade_count_total,sqn_min_trades,sqn_recent_100_insufficient_100,sqn_recent_100_note,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,error
15,5.0,0.05,-4.0,-0.04,False,avg_annual_trade_count_lt_min:39.4426<50,,ok,148497,1,1.0430467800717267,0.07207548308507405,0.9650696210947958,0.06898772687378092,39.442582754393136,5.190543739216534,True,,100.0,383.0,30.0,False,,-0.10373872269159423,701.0,1.6344460952641668,0.6947789717765072,3.2584473532506357,2.2119578827373525,
15,5.0,0.05,-3.0,-0.03,False,avg_annual_trade_count_lt_min:44.0768<50,,ok,150063,1,0.9407801750037615,0.06705943317988483,0.8776233920141139,0.07170652842228024,44.07682876992235,5.4783526839323935,True,,100.0,428.0,30.0,False,,-0.13067495107206262,885.0,1.4653379453254498,0.5131774118124898,3.7862368494565906,1.7711367736941592,
15,5.0,0.05,-2.0,-0.02,False,avg_annual_trade_count_lt_min:48.6081<50,,ok,149050,1,1.1174433171688174,0.0828003372231163,1.1644056733527357,0.07359457736099102,48.60809154066204,4.602894364584975,True,,100.0,472.0,30.0,False,,-0.12398277068770702,639.0,1.7814625575621292,0.6678374484119027,3.2205437235626446,2.5710049088083964,
15,5.0,0.05,-1.0,-1.0,False,avg_annual_trade_count_lt_min:2.78055<50,,ok,146433,1,2.2161256543590517,0.03194404767209713,0.3569110029171303,0.014229675641942656,2.7805476093175314,,False,trades_lt_30,27.0,27.0,30.0,True,trades_lt_100,-0.023495717983850528,473.0,3.400119866599105,1.3595689092818297,0.717108680206359,4.454561568395008,
15,5.0,0.05,0.0,0.0,True,,0.24480742173172831,ok,149212,1,1.0816145976104155,0.0808309200306585,1.126496196393099,0.07441128205712677,54.9930527176134,2.5171364138297045,True,,100.0,534.0,30.0,False,,-0.13510513980533556,796.0,1.6735209711673438,0.5982816060671168,3.9083029599345935,2.0681846023526087,
16,0.0,0.0,-5.0,-0.05,False,avg_annual_trade_count_lt_min:45.2096<50,,ok,136418,1,0.9960226451215028,0.07102667262273599,0.9464891518391716,0.07143498242518702,45.20964446260727,3.0903380594922485,True,,100.0,439.0,30.0,False,,-0.12581865323249664,330.0,1.5809577541011077,0.5645162366464681,3.3948443849400527,2.0921922942276545,
16,0.0,0.0,-4.0,-0.04,True,,0.3697363529745331,ok,136417,1,0.9563162812643048,0.07232888747546018,0.9695826647405963,0.07602520431279416,55.09603596240294,3.687161406713966,True,,100.0,535.0,30.0,False,,-0.13085027104279556,377.0,1.528119625759905,0.5527607004482588,3.444018630037482,2.1001305522750036,
16,0.0,0.0,-3.0,-0.03,True,,0.45472636047562287,ok,140935,1,1.1278719658921055,0.08966397113515967,1.301308895832335,0.07887841878590135,67.45402533714753,3.2009985274203685,True,,100.0,655.0,30.0,False,,-0.10885380482046536,378.0,1.7681997365036033,0.8237100327640743,3.155998532331612,2.8410650453920536,
16,0.0,0.0,-2.0,-0.02,True,,0.5017264103378174,ok,147711,1,1.1401305739526881,0.08900190799723284,1.2877729301832277,0.07739489091617187,80.22394769105027,2.938365709300098,True,,100.0,779.0,30.0,False,,-0.09080092960595976,297.0,1.8046735842544537,0.9801871895306143,2.772112101922388,3.210617201790372,
16,0.0,0.0,-1.0,-1.0,False,avg_annual_trade_count_lt_min:2.98651<50,,ok,144141,1,2.1436240015392225,0.03523969116699566,0.3995627298890929,0.016212201935136762,2.986514098896608,,False,trades_lt_30,29.0,29.0,30.0,True,trades_lt_100,-0.04614920817934898,531.0,3.0600581508648736,0.7636033760328925,1.100450367031457,3.2022971887462064,
