er_threshold,objective_eligible,objective_ineligible_reason,composite_score,kelly_std_objective_eligible,kelly_std_objective_ineligible_reason,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,avg_annual_trade_count,sqn_recent_100,sqn_applicable,sqn_reason,sqn_trade_count_used,sqn_trade_count_total,sqn_min_trades,sqn_recent_100_insufficient_100,sqn_recent_100_note,sqn_recent_100_roll_points,kelly_overall,kelly_by_code_std,kelly_by_code_mean,kelly_by_code_min,kelly_by_code_max,kelly_by_code_valid_count,kelly_by_code_required_count,kelly_by_code_complete,kelly_by_code_missing_count,kelly_by_code_missing_codes,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,error
0.5,True,,0.16936176509826556,True,,,,0.9797220848736651,0.07137169658212072,1.5203429904452936,0.07304712912522843,28.10769230769231,2.8287049521753342,True,,100.0,377.0,30.0,False,rolling_100_median,278.0,0.30639742066587194,0.1246154250137701,0.2916787680473153,0.07716286524854271,0.4924392694474401,13.0,13.0,True,0.0,[],-0.11997927945058151,1354.0,1.8086683512050612,0.5948668545848215,3.5792424262757945,1.9940447748990016,
0.55,True,,0.24822966158923274,True,,,,0.9741807050169761,0.06766412527397159,1.4058721864708739,0.06965700992064253,24.75266272189349,2.984743057274337,True,,100.0,332.0,30.0,False,rolling_100_median,233.0,0.3296147266875932,0.1443906642130401,0.3230623767047581,0.09285346963311208,0.624888211148632,13.0,13.0,True,0.0,[],-0.09626740880283746,1353.0,1.8009122388913599,0.7028767691519833,3.081092694963885,2.196108068561849,
0.6,True,,0.4497430657666464,True,,,,1.0691263344347792,0.07149771334690813,1.524320877208135,0.06663072162949484,21.472189349112426,3.265252067580278,True,,100.0,288.0,30.0,False,rolling_100_median,189.0,0.37860615423346045,0.15838948639857628,0.3847013315891395,0.09395461053555199,0.7415070480418975,13.0,13.0,True,0.0,[],-0.07754427176050105,429.0,2.020508408366661,0.9220244348638932,2.279052011627095,3.1371690063301108,
0.65,True,,0.5424098176570471,False,missing_kelly_codes:12/13,,,1.144021450535801,0.07386338755258404,1.6000833416658695,0.06404866679624859,18.415384615384617,3.705586926234261,True,,100.0,247.0,30.0,False,rolling_100_median,148.0,0.4287645322499426,0.19059601369304535,0.44335316797382746,0.052852339304670704,0.6555902828333099,12.0,13.0,False,1.0,['515880'],-0.07956993358935094,469.0,2.2218695104952304,0.9282826341640855,2.342251459101035,3.153520825681675,
0.7,True,,0.4631030818175321,True,,,,1.0529547247492141,0.06051036283899336,1.1984805704906645,0.05732199035839882,15.731360946745562,3.587279929468517,True,,100.0,211.0,30.0,False,rolling_100_median,112.0,0.3834802055068572,0.27794566730620235,0.4389581277362309,-0.15081182577271146,0.8956893917860397,13.0,13.0,True,0.0,[],-0.08056912908934466,821.0,2.009590875056948,0.7510365759556896,2.211148045901844,2.736603862918345,
0.75,True,,0.7631061164701121,True,,,,1.2454891647531636,0.06669504416340422,1.3767555291212545,0.05293637263304997,12.15266272189349,4.1022843441657475,True,,100.0,163.0,30.0,False,rolling_100_median,64.0,0.4261503225301765,0.2272405896587077,0.5070076258496358,0.12996372358814595,0.8956112771309125,13.0,13.0,True,0.0,[],-0.05393230162186469,422.0,2.479601869178334,1.236643758151152,1.6559237301958438,4.027664012974576,
0.8,True,,0.6701645088268033,True,,,,1.13800732592932,0.05592716300778089,1.074442581081735,0.04884408768410199,9.990532544378699,3.566114687154455,True,,100.0,134.0,30.0,False,rolling_100_median,35.0,0.43431047329651973,0.34568563568020294,0.4501881761846089,-0.4601941713019474,0.7909270976286151,13.0,13.0,True,0.0,[],-0.03924831302842935,498.0,2.154440413453464,1.4249571177051683,1.4276448463000302,3.917442293349433,
0.85,True,,0.8365688267277596,False,missing_kelly_codes:10/13,,,1.332334894278624,0.05419514228174216,1.0292784664347532,0.04020466196368018,6.710059171597633,3.9908515257103754,True,,90.0,90.0,30.0,True,rolling_90_median_due_to_lt_100,1.0,0.5213130303770181,0.12069952645657396,0.4789858963851392,0.307276974037898,0.638962836349781,10.0,13.0,False,3.0,"['159570', '159792', '159870']",-0.040737869066435506,408.0,2.4806490070690694,1.3303381724105516,1.1770366552272935,4.60437166855069,
0.9,True,,0.8486735959068173,False,missing_kelly_codes:10/13,,,1.4555223497406657,0.04620078672637584,0.8323684647069569,0.03135545374550704,4.02603550295858,3.0267887556186843,True,,54.0,54.0,30.0,True,rolling_54_median_due_to_lt_100,1.0,0.48635232996533,0.2178907482894005,0.3311645372002846,-0.15749321781571846,0.5976729786852711,10.0,13.0,False,3.0,"['159570', '159792', '513090']",-0.030863124508005435,352.0,3.060126883676007,1.4969575330712885,0.8753870951319844,5.277755062108841,
0.95,True,,0.6189333591396365,False,missing_kelly_codes:7/13,,,1.3624121146212325,0.03857243351571893,0.6611027462264811,0.028056470589092716,2.3857988165680473,2.186256653485831,True,,32.0,32.0,30.0,True,rolling_32_median_due_to_lt_100,1.0,0.3735310045520676,0.2592242275170532,0.30529298772893787,-0.15749321781571846,0.5976835588710422,7.0,13.0,False,6.0,"['159570', '159792', '513090', '515220', '560280', '159870']",-0.03615827997167975,640.0,2.817355862001014,1.0667662716791289,0.8495714466688383,4.540222445912121,
1.0,False,sqn_trade_count_lt_min:16<30 (sqn_reason=trades_lt_30),,False,missing_kelly_codes:4/13,,,1.4728873240765628,0.03586099974385859,0.6038858104402041,0.024107602568835904,1.1928994082840236,1.559226954669081,False,trades_lt_30,16.0,16.0,30.0,True,rolling_16_median_due_to_lt_100,1.0,0.3721854428778338,0.14668882216341048,0.47021541412506906,0.26018012976642757,0.5775351976918194,4.0,13.0,False,9.0,"['159570', '159792', '513070', '513090', '515220', '560280', '159870', '515880', '517520']",-0.03005854112322337,494.0,3.645915747504214,1.193038597477115,0.6128990325478479,5.851045252067515,
