top_k,rebalance_anchor,status,elapsed_ms,sharpe_ratio,annualized_return,cumulative_return,annualized_volatility,max_drawdown,max_drawdown_recovery_days,sortino_ratio,calmar_ratio,ulcer_index,ulcer_performance_index,win_rate,payoff_ratio,kelly_fraction,error
9,21,ok,44867,0.8022360636525582,0.09119721330180663,2.503347107019613,0.11739750631972794,-0.20202093825775358,604,1.2139345682011493,0.45142456068316217,4.366140650111442,2.0887374138869967,0.6229508196721312,3.15573436378303,0.5034701736915645,
9,22,ok,42276,0.8423159827692188,0.09567617795096361,2.715679366093404,0.11655726689445295,-0.21890121316868427,578,1.2746184974688899,0.437074681158738,4.180678935368405,2.288532064530149,0.6475409836065574,3.1052733771639724,0.5340376060986676,
9,23,ok,44309,0.8296331658717158,0.09411395406800849,2.640296271749177,0.11662639577859128,-0.2209017591283532,525,1.260655467446468,0.4260443847951629,4.266513395730414,2.2058750398437796,0.6638655462184874,2.760590888333912,0.5421037686215257,
9,24,ok,47949,0.7996211943629121,0.09063244066114762,2.477389771165659,0.11708576612204306,-0.22339186822788826,590,1.2095369087504833,0.4057105631467791,4.142740403563932,2.1877412493232256,0.6666666666666666,2.8583567225631104,0.5500495451219384,
9,25,ok,46282,0.7627114391196218,0.08518948537035365,2.2362378541637535,0.11603068379144729,-0.224688280959354,598,1.1512267190092118,0.37914520956152753,4.344846161451606,1.9607019950711435,0.6229508196721312,3.108283705497912,0.501646197555126,
9,26,ok,45042,0.7542491822027466,0.08395084976088651,2.1835783407708695,0.11577936265050283,-0.22647583644208402,599,1.1384519347597897,0.3706834736974468,4.252764979516514,1.9740298409443418,0.6147540983606558,3.258975417734211,0.4965433565603433,
9,27,ok,46791,0.7232522599953339,0.07984546120761515,2.0146863546977447,0.11544017042324947,-0.20910010649338473,591,1.0896111789029783,0.38185280030042074,4.173797112115869,1.9130173092466924,0.6585365853658537,2.3806791826120244,0.5151054934622815,
9,28,ok,46879,0.7134807469615699,0.07819331601917567,1.9491017692345114,0.11476702774273236,-0.21350937420714078,479,1.0745625269857686,0.36622895978007375,4.06157197723588,1.925198333488367,0.6410256410256411,2.679276599374378,0.5070438195674979,
10,1,ok,50970,0.672942033163309,0.07052095829747373,1.6615646882007726,0.11031620191268335,-0.216980476616759,599,1.0121872551913285,0.3250106156879318,4.365484126095968,1.6154212513547794,0.6016260162601627,2.974118223153508,0.46767909355934456,
10,2,ok,49514,0.7112265617678302,0.07503683254258298,1.8274753843536549,0.11029595498274082,-0.2169804766167589,554,1.0662038947983754,0.34582296855728895,4.438111939486856,1.6907377183293602,0.6033057851239669,3.0833876248000567,0.47465046728933147,
10,3,ok,50426,0.7272298924093903,0.07714873041229486,1.908322861174943,0.11061184872625723,-0.21818347139204264,568,1.0967948795810067,0.3535956684531354,4.208293122986083,1.8332546749393817,0.5950413223140496,3.2011014358381957,0.4685352787528547,
10,4,ok,43487,0.7427161889474934,0.07954534326638152,2.0026727290454733,0.11141607849467243,-0.21830824598578902,539,1.125925390314801,0.36437168420820715,4.21159632254614,1.8887219280857386,0.639344262295082,2.8587851298302014,0.5131872685631539,
